"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
13.11,"dustin keller","TE","NYJ",155.1,21,6.01,15.12,103,16
13.12,"ronald curry","WR","LV",156,18,8.11,15.12,157,58
13.12,"eddie royal","WR","DEN",156.1,17.2,3.05,15.12,150,59
13.12,"matt ryan","QB","ATL",156.4,15.4,8.07,15.1,64,24
14.01,"jeff garcia","QB","TB",157.3,18.6,8.02,15.12,80,25
14.02,"rob bironas","PK","TEN",157.7,19.5,1.12,15.12,187,6
14.03,"philadelphia defense","DEF","PHI",158.7,14.9,9.11,15.12,348,12
14.03,"nate kaeding","PK","LAC",158.8,12.6,3.12,15.12,326,7
14.03,"greg olsen","TE","CHI",159.4,17.1,8.03,15.12,101,17
14.05,"indianapolis defense","DEF","IND",161.4,14.3,3.08,15.12,226,13
14.08,"tampa bay defense","DEF","TB",164,11,9.11,15.12,147,14
15.01,"jason elam","PK","ATL",168.8,10.8,11.09,15.12,62,8
15.01,"shayne graham","PK","CIN",169,9.1,8.08,15.12,315,9
15.03,"robbie gould","PK","CHI",170.6,11.4,8.04,15.12,88,10
15.03,"jason hanson","PK","DET",170.7,23.1,2.01,15.12,102,11
15.03,"neil rackers","PK","ARI",170.9,6.9,13.01,15.12,227,12
158,"larry fitzgerald","WR","ARI",169,17.9,111,180,8,60
158.6,"justin jackson","RB","LAC",104,18.7,110,180,10,54
159.7,"wil lutz","PK","NO",139,8.2,138,180,6,13
159.9,"miles boykin","WR","BAL",32,19.2,110,181,8,61
160,"jaylen samuels","RB","PIT",57,17.6,114,180,8,55
160.2,"darwin thompson","RB","KC",24,16.2,117,180,10,56
160.6,"adrian peterson","RB","WAS",95,15.8,119,180,8,57
161.1,"benny snell jr.","RB","PIT",30,12.5,136,179,8,58
161.2,"hayden hurst","TE","BAL",152,17.9,114,180,8,18
161.5,"randall cobb","WR","HOU",26,18.5,113,180,8,62
161.7,"la chargers defense","DEF","LAC",107,12.5,129,182,10,15
161.7,"josh reynolds","WR","LAR",18,14.4,135,180,9,63
161.8,"dallas defense","DEF","DAL",58,11.8,136,179,10,16
