,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
275,John Beck\BeckJo00,MIA,QB,26,5,4,60,107,559,1,3,9,12,1.33,1,0,0,0,,0,7,5,1,,1,30,19.6,30.6,22.6,,56,
276,Todd Heap\HeapTo00,BAL,TE,27,6,6,0,0,0,0,0,0,0,,0,34,23,239,10.39,1,0,,1,,,30,52.9,55.9,41.4,,36,
277,Joe Horn\HornJo00,ATL,WR,35,12,12,0,0,0,0,0,0,0,,0,52,27,243,9.00,1,0,,1,,,30,57.3,60.3,43.8,,104,
278,Matt Leinart\LeinMa00,ARI,QB,24,5,5,60,112,647,2,4,11,42,3.82,0,0,0,0,,0,0,,0,,,30,30.1,37.1,34.1,,55,
279,L.J. Smith\SmitL.00,PHI,TE,27,10,9,0,0,0,0,0,0,0,,0,43,22,236,10.73,1,1,1,1,,,30,49.6,53.6,38.6,,37,
280,Chris Henry\HenrCh01,TEN,RB,22,7,0,0,0,0,0,0,31,119,3.84,2,7,6,53,8.83,0,0,,2,,,29,35.2,38.2,32.2,,81,
281,Vonta Leach\LeacVo00,HOU,RB,26,16,12,0,0,0,0,0,2,2,1.00,1,33,25,108,4.32,2,2,1,3,,,29,52.0,56.0,39.5,,82,
282,Kyle Orton\OrtoKy00,CHI,QB,25,3,3,43,80,478,3,2,5,-1,-0.20,0,0,0,0,,0,2,,0,,1,29,29.0,34.0,31.0,,57,
283,Cecil Sapp\SappCe00,DEN,RB,29,16,8,0,0,0,0,0,18,59,3.28,2,20,14,51,3.64,1,0,,3,,,29,43.0,43.0,36.0,,83,
284,Demetrius Williams\WillDe03,BAL,WR,24,9,4,0,0,0,0,0,0,0,,0,47,20,290,14.50,0,0,,0,,,29,49.0,52.0,39.0,,105,
285,Greg Camarillo\CamaGr00,MIA,WR,25,15,0,0,0,0,0,0,0,0,,0,10,8,160,20.00,2,0,,2,,,28,36.0,39.0,32.0,,107,
286,Javon Walker\WalkJa00,DEN,WR,29,8,5,0,0,0,0,0,2,-3,-1.50,0,50,26,287,11.04,0,0,,0,,,28,54.4,57.4,41.4,,106,
287,Kelly Holcomb\HolcKe00,MIN,QB,34,3,3,42,83,515,2,1,0,0,,0,0,0,0,,0,1,,0,,,27,26.6,30.6,27.6,,58,
288,Ahmad Bradshaw\BradAh00,NYG,RB,21,12,0,0,0,0,0,0,23,190,8.26,1,5,2,12,6.00,0,2,1,1,,,26,26.2,30.2,25.2,,85,
289,Craig Davis\DaviCr00,SDG,WR,22,13,1,0,0,0,0,0,3,9,3.00,0,34,20,188,9.40,1,1,1,1,,,26,43.7,47.7,33.7,,108,
290,Will Heller\HellWi00,SEA,TE,26,16,6,0,0,0,0,0,0,0,,0,26,13,82,6.31,3,0,,3,,,26,39.2,39.2,32.7,,38,
291,Maurice Hicks\HickMa00,SFO,RB,29,16,0,0,0,0,0,0,21,117,5.57,1,16,14,86,6.14,0,3,1,1,,,26,38.3,42.3,31.3,,84,
292,Terrance Copper\CoppTe00,NOR,WR,25,15,1,0,0,0,0,0,0,0,,0,21,15,126,8.40,2,0,,2,,,25,39.6,42.6,32.1,,109,
293,Justin Griffith\GrifJu00,OAK,RB,27,16,11,0,0,0,0,0,7,27,3.86,0,36,26,165,6.35,1,0,,1,,,25,51.2,54.2,38.2,,87,
294,Sean McHugh\McHuSe00,DET,TE,25,15,12,0,0,0,0,0,0,0,,0,29,17,252,14.82,0,0,,0,,,25,42.2,45.2,33.7,,39,
295,Lawrence Vickers\VickLa00,CLE,RB,24,16,14,0,0,0,0,0,15,43,2.87,0,24,13,91,7.00,2,0,,2,,,25,38.4,38.4,31.9,,86,
296,Kris Wilson\WilsKr00,KAN,TE,26,16,12,0,0,0,0,0,3,7,2.33,0,50,24,180,7.50,1,2,1,1,,,25,46.7,50.7,34.7,,40,
297,Kevin Boss\BossKe00,NYG,TE,23,13,2,0,0,0,0,0,0,0,,0,14,9,118,13.11,2,0,,2,,,24,32.8,35.8,28.3,,41,
298,Brent Celek\CeleBr00,PHI,TE,22,16,4,0,0,0,0,0,0,0,,0,22,16,178,11.13,1,0,,1,,,24,39.8,42.8,31.8,,42,
