ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
3.04,27.6,Adam Thielen,WR,MIN,304,6.1,13,48,7
3.04,28.3,LeVeon Bell,RB,NYJ,265,6.3,15,46,11
3.07,30.7,Cooper Kupp,WR,LAR,310,3.6,21,43,9
3.07,31.4,Devin Singletary,RB,BUF,251,6.0,16,55,11
3.08,31.9,James Conner,RB,PIT,268,5.1,18,53,8
3.10,34.1,Tyler Lockett,WR,SEA,114,6.3,23,49,6
3.11,34.9,Keenan Allen,WR,LAC,173,5.0,22,44,10
3.11,35.0,Austin Ekeler,RB,LAC,795,8.2,13,67,10
3.12,35.9,T.Y. Hilton,WR,IND,266,5.7,21,56,7
4.03,38.7,Deebo Samuel,WR,SF,128,5.0,25,49,11
4.03,38.9,Mark Ingram,RB,BAL,489,7.0,22,62,8
4.03,39.3,D.K. Metcalf,WR,SEA,250,9.0,23,70,6
4.04,39.8,Calvin Ridley,WR,ATL,130,6.8,27,61,10
4.05,40.8,D.J. Chark,WR,JAX,157,3.8,30,49,7
4.06,41.9,Deshaun Watson,QB,HOU,100,7.4,24,60,8
4.06,42.4,Zach Ertz,TE,PHI,291,7.1,23,65,9
4.07,42.6,Marlon Mack,RB,IND,420,6.6,25,68,7
4.08,44.2,David Montgomery,RB,CHI,207,6.4,27,57,11
4.08,44.4,A.J. Brown,WR,TEN,398,7.8,25,75,7
4.09,45.3,Russell Wilson,QB,SEA,172,6.6,28,63,6
4.10,46.1,Kenyan Drake,RB,ARI,1100,11.5,16,85,8
4.11,46.6,Michael Gallup,WR,DAL,95,7.9,25,67,10
4.11,46.9,Tyler Boyd,WR,CIN,81,5.7,36,67,9
4.12,47.7,Mark Andrews,TE,BAL,320,9.1,24,80,8
