"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"quan bray","WR","23","6","0","0","0","0","0","1","7","0","4","3","36","0","0","","","4","","179"
"mike james","RB","25","4","0","0","0","0","0","4","19","0","4","4","22","0","0","","","4","","133"
"taiwan jones","RB","28","13","0","0","0","0","0","1","-8","0","4","4","43","0","0","","","4","","134"
"daniel lasco","RB","24","7","0","0","0","0","0","11","32","0","4","2","11","0","0","","","4","","132"
"bradley marquez","WR","24","14","0","0","0","0","0","1","2","0","7","3","37","0","0","","","4","","180"
"dexter mccluster","WR","27","6","0","0","0","0","0","3","2","0","11","7","36","0","0","","","4","","181"
"justin perillo","TE","25","9","0","0","0","0","0","0","0","0","5","4","35","0","0","","","4","","87"
"brandon williams","TE","29","16","0","0","0","0","0","0","0","0","3","2","36","0","0","","","4","","86"
"derek carrier","TE","26","8","0","0","0","0","0","0","0","0","2","2","10","0","0","","","3","","89"
"d.j. foster","RB","23","3","0","0","0","0","0","7","24","0","2","1","2","0","0","","","3","","139"
"don jackson","RB","23","3","0","0","0","0","0","10","32","0","1","0","0","0","0","","","3","","135"
"malcolm johnson","RB","24","7","0","0","0","0","0","1","2","0","7","5","44","0","1","","","3","","138"
"sean mcgrath","TE","29","16","0","0","0","0","0","0","0","0","2","2","25","0","0","","","3","","92"
"niles paul","TE","27","8","0","0","0","0","0","0","0","0","2","2","27","0","0","","","3","","91"
"isaiah pead","RB","27","3","0","0","0","0","0","8","22","0","1","1","6","0","0","","","3","","136"
"keith smith","RB","24","16","0","0","0","0","0","2","5","0","4","3","20","0","0","","","3","","140"
"lee smith","TE","29","4","0","0","0","0","0","0","0","0","6","6","29","0","0","","","3","","90"
"nick vannett","TE","23","9","0","0","0","0","0","0","0","0","4","3","32","0","0","","","3","","88"
"danny vitale","RB","23","9","0","0","0","0","0","0","0","0","5","4","27","0","0","","","3","","137"
"antonio andrews","RB","24","16","0","0","0","0","0","2","15","0","0","0","0","0","0","","","2","","148"
"brenton bersin","WR","26","10","0","0","0","0","0","0","0","0","6","2","17","0","0","","","2","","188"
"brandon bolden","RB","26","14","0","0","0","0","0","1","4","0","4","2","15","0","0","","","2","","141"
"damiere byrd","WR","23","1","0","0","0","0","0","0","0","0","1","1","16","0","0","","","2","","190"
"james develin","RB","28","16","0","0","0","0","0","0","0","0","6","3","18","0","0","","","2","","143"
"jalston fowler","RB","26","16","0","0","0","0","0","1","3","0","2","1","14","0","0","","","2","","144"
"clay harbor","TE","29","15","0","0","0","0","0","0","0","0","3","3","19","0","0","","","2","","94"
"percy harvin","WR","28","2","0","0","0","0","0","1","11","0","4","2","6","0","0","","","2","","189"
"cardale jones","QB","24","1","6","11","96","0","1","1","-1","0","0","0","0","0","0","","","2","","60"
"zach line","RB","26","15","0","0","0","0","0","7","15","0","3","0","0","0","0","","","2","","147"
"marc mariani","WR","29","16","0","0","0","0","0","1","15","0","0","0","0","0","0","","","2","","192"
"matt mcgloin","QB","27","3","8","15","50","0","0","3","-3","0","0","0","0","0","0","","","2","","61"
"j.d. mckissic","RB","23","1","0","0","0","0","0","1","2","0","2","2","16","0","0","","","2","","142"
"logan paulsen","TE","29","16","0","0","0","0","0","0","0","0","10","3","15","0","0","","","2","","97"
"cedric peerman","RB","30","6","0","0","0","0","0","6","15","0","1","0","0","0","0","","","2","","145"
"jay prosch","RB","24","15","0","0","0","0","0","4","9","0","1","1","6","0","0","","","2","","146"
"deandre smelter","WR","25","2","0","0","0","0","0","0","0","0","1","1","23","0","0","","","2","","183"
"devin smith","WR","24","4","0","0","0","0","0","0","0","0","3","1","20","0","0","","","2","","185"
"luke stocker","TE","28","12","0","0","0","0","0","0","0","0","8","5","23","0","0","","","2","","93"
"devin street","WR","25","5","0","0","0","0","0","0","0","0","6","1","20","0","0","","","2","","186"
