#,Pick,Name,Pos,Team,Overall,Std.,High,Low,Times
204,14.07,San Francisco Defense,DEF,SF,162.8,0,0.12,0.12,60
205,14.07,Daunte Culpepper,QB,DET,163.1,0,0.12,0.12,85
206,14.08,Green Bay Defense,DEF,GB,163.6,0,0.12,0.12,74
207,14.08,Brady Quinn,QB,FA,163.7,0,0.12,0.12,26
208,14.09,Olindo Mare,PK,CAR,165.3,0,0.12,0.12,256
209,14.09,Tony Hunt,RB,FA,165.4,0,0.12,0.12,31
210,14.1,Jason Elam,PK,ATL,165.5,0,0.12,0.12,162
211,14.12,Joey Harrington,QB,NO,167.6,0,0.12,0.12,49
212,14.12,Matt Stover,PK,IND,167.6,0,0.12,0.12,151
213,14.12,Ryan Longwell,PK,FA,168.4,0,0.12,0.12,17
214,15.02,Josh Brown,PK,NYG,170.2,0,0.12,0.12,150
215,15.03,Jason Hanson,PK,DET,170.5,0,0.12,0.12,19
