#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
100,8.12,Eddie Royal,WR,CHI,95.7,9,5.02,10.07,206
101,9.01,Seattle Defense,DEF,SEA,97.2,8.2,6.09,10.02,137
102,9.02,Terrance Williams,WR,DAL,97.6,9.4,5.07,10.09,190
103,9.02,Bishop Sankey,RB,TEN,98.3,10.3,5.09,10.11,142
104,9.03,Devonta Freeman,RB,ATL,99.1,10.2,6.05,11.09,141
105,9.06,Delanie Walker,TE,TEN,102.3,13.7,6.08,12.05,140
106,9.07,Eric Decker,WR,NYJ,103.4,9.3,7.03,11.04,168
107,9.07,Eli Manning,QB,NYG,103.4,10.5,6.11,11.06,243
108,9.1,Roddy White,WR,ATL,106.3,8.7,6.07,11.02,124
109,9.1,Steve Johnson,WR,LAC,106.5,9.1,7.01,11.12,180
110,9.11,Ronnie Hillman,RB,DEN,106.6,8.8,7.03,11.07,153
111,9.11,Brian Quick,WR,LAR,106.7,9.3,5.11,11.09,168
112,9.12,Houston Defense,DEF,HOU,107.5,8.5,6.07,11.03,100
113,10.01,Duke Johnson,RB,CLE,109,10.1,7.04,12.01,193
