#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drated
104,9.04,Corey Coleman,WR,CLE,99.6,7.6,7.01,10.11,230
105,9.06,Philip Rivers,QB,LAC,101.8,9.5,5.01,11.03,271
106,9.06,Hunter Henry,TE,LAC,102.3,15.3,6.01,12.09,247
107,9.07,Jamaal Williams,RB,GB,102.8,7.8,6.06,11.06,111
108,9.08,Marvin Jones,WR,DET,103.7,10.1,6.02,11.03,206
109,9.1,Jeremy Hill,RB,CIN,105.6,10.2,5.07,11.12,176
110,9.12,John Brown,WR,ARI,108.1,8.1,7.02,11.07,227
111,9.12,Dak Prescott,QB,DAL,108.2,11.7,4.12,11.09,222
112,9.12,Samaje Perine,RB,WAS,108.5,10.2,6.03,12.09,131
113,10.01,Houston Defense,DEF,HOU,108.8,8.5,6.1,11.02,92
114,10.01,Donte Moncrief,WR,IND,108.9,8,6.04,11.07,164
115,10.03,Kansas City Defense,DEF,KC,111,12.5,1.05,11.1,131
116,10.04,Corey Davis,WR,TEN,112.2,7.8,8.03,11.11,182
117,10.06,Matthew Stafford,QB,DET,113.6,9,7.12,12.03,279
