"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drated","Pos_ADP"
3.12,"ty montgomery","RB","GB",35.7,4.5,2.1,4.12,395,19
4.02,"joe mixon","RB","CIN",37.5,5.2,2.07,5.07,308,20
4.02,"drew brees","QB","NO",37.7,6.5,1.09,5.07,239,3
4.02,"demaryius thomas","WR","DEN",38.2,4.3,2.09,5.01,285,16
4.04,"alshon jeffery","WR","PHI",39.8,4.1,3.01,5.04,307,17
4.04,"travis kelce","TE","KC",39.9,5.2,2.07,5.04,251,2
4.06,"kelvin benjamin","WR","BUF",42,4.2,3.02,5.09,407,18
4.07,"c.j. anderson","RB","DEN",43.5,5.5,2.12,5.12,372,21
4.08,"martavis bryant","WR","PIT",43.7,4.9,3.01,5.1,415,19
4.09,"tyreek hill","WR","KC",44.7,4.6,3.01,6.04,258,20
4.09,"davante adams","WR","GB",44.8,4,3.01,5.08,371,21
4.1,"doug martin","RB","TB",45.6,5.7,3.02,6.03,356,22
4.12,"ameer abdullah","RB","DET",48.4,6.2,3.06,6.05,339,23
5.01,"michael crabtree","WR","LV",48.9,5.1,2.12,6.09,339,22
5.02,"allen robinson","WR","JAX",50.3,4.8,4.01,6.05,292,23
5.02,"greg olsen","TE","CAR",50.4,4.9,3.06,6.02,208,3
5.04,"mark ingram","RB","NO",51.6,6.8,3.07,6.07,224,24
5.05,"jordan reed","TE","WAS",53.3,4.6,3.07,6.03,231,4
5.06,"golden tate","WR","DET",54,5.6,3.12,6.12,251,24
5.06,"mike gillislee","RB","NE",54.3,6.1,3.06,6.07,238,25
5.07,"matt ryan","QB","ATL",54.6,7.9,3.01,6.11,192,4
